市町,ツアー名,販売ツアー数
仙台,Back-alley Bar Hopping in Sendai,9
仙台,Hungry Samurai: Sendai Food & Culture Tour,3
塩竈,Foodie tour in Shiogama,1
名取,Recovery cycling tour,1
塩竈,Secrets of Shiogama's 'Seaweed Salt': Foodie walking tour,0
東松島,Oyster Paradise Matsushima,2
仙台,Stayficacion 'Love hotel',0
塩竈,【Miyagi・Shiogama】Spirit of Japanese Sake,0
松島,Kimono Walking Tour of Matsushima　,0
鳴子,Earth-friendly art: Bamboo straw workshop (with lunch),0
塩竈,"Tuna heaven in Shiogama: Tuna auction, carving and sushi workshop",0
塩竈,Essence of Shinto: Formal blessing at Shiogama Shrine,0
塩竈,Perfect ‘Hanami’ Picnic at Shiogama Shrine,0
東松島,Bar Hopping in HIGASHIMATSUSHIMA　,0
塩竈,Bar Hopping in SHIOGAMA,0
仙台,Bar Hopping in Koubuncho SNACK,0
仙台,Bar Hopping in Koubuncho VEG,0
仙台,Flavours of Sendai by Night: Premium Course,0
仙台,Flavours of Sendai by Night: Entertainment Course,0
仙台,A Date with ‘Date’: Dine like a Samurai in Sendai,0
仙台,Akagane workshop,1
塩竈・松島,Shiogama/Matsushima Private Tour,1
塩竈,Shiogama Private Tour,1
その他,Business Shisatsu-visiting,1
その他,Business Shooting tour,1
利府,Traditional fishing / seaweed《Jyarann》,3
その他,Other,0
